| Player | Agents | Rnd | R2.0 | ACS | K:D | KAST | ADR | KPR | APR | FKPR | FDPR | HS% | CL% | CL | KMax | K | D | A | FK | FD |
| [Akame  DFM](/player/13002/akame) | (+3) | 274 | 0.92 | 203.5 | 0.93 | 72% | 133.2 | 0.69 | 0.25 | 0.11 | 0.12 | 29% | 20% | 4/20 | [23](/508829/talon-vs-detonation-focusme-vct-2025-pacific-stage-2-w2) | 188 | 203 | 68 | 31 | 34 |
| [Gosu](/player/50916/gosu) |  | 207 | 0.92 | 192.7 | 0.94 | 66% | 130.1 | 0.71 | 0.10 | 0.15 | 0.17 | 27% | 10% | 2/21 | [24](/525537/novo-nightingale-vs-million-flowerz-gc-game-changers-2025-emea-contenders-series-2-ubsf-b) | 146 | 156 | 20 | 31 | 35 |
| [stellar  YFP](/player/733/stellar) | (+2) | 373 | 0.92 | 162.6 | 0.84 | 69% | 107.1 | 0.56 | 0.37 | 0.04 | 0.06 | 23% | 12% | 9/78 | [17](/509399/yfp-vs-sad-esports-challengers-2025-north-america-ace-stage-3-r1) | 208 | 247 | 139 | 16 | 21 |
| [flasHH  Tuff](/player/29613/flashh) | (+2) | 257 | 0.92 | 208.3 | 0.87 | 66% | 143.2 | 0.69 | 0.22 | 0.15 | 0.18 | 25% | 7% | 2/27 | [23](/516057/sad-esports-vs-tuffgg-funhavergg-zero-in-final-qualifier-ro32) | 178 | 205 | 57 | 39 | 45 |
| [iZu  T1](/player/29833/izu) |  | 442 | 0.92 | 212.4 | 0.98 | 65% | 136.6 | 0.72 | 0.24 | 0.13 | 0.14 | 25% | 13% | 4/32 | [29](/530363/t1-vs-rex-regum-qeon-vct-2025-pacific-stage-2-lr3) | 319 | 326 | 104 | 56 | 63 |
| [Ryu  BBB](/player/10581/ryu) | (+3) | 257 | 0.91 | 181.8 | 0.89 | 68% | 123.9 | 0.66 | 0.18 | 0.07 | 0.09 | 35% | 8% | 3/37 | [23](/525799/six-karma-vs-contra-challengers-2025-latam-north-ace-stage-2-ubsf) | 169 | 189 | 47 | 19 | 22 |
| [Shiro  BME](/player/10739/shiro) |  | 235 | 0.91 | 187.5 | 0.86 | 71% | 127.3 | 0.64 | 0.31 | 0.11 | 0.11 | 25% | 14% | 3/22 | [21](/508843/boom-esports-vs-zeta-division-vct-2025-pacific-stage-2-w4) | 151 | 176 | 72 | 27 | 26 |
| [thief  YFP](/player/69/thief) | (+2) | 373 | 0.91 | 194.9 | 0.92 | 68% | 129.7 | 0.69 | 0.16 | 0.11 | 0.10 | 25% | 16% | 9/56 | [21](/528559/yfp-vs-shopify-rebellion-black-challengers-2025-north-america-ace-stage-3-r6) | 258 | 280 | 59 | 40 | 36 |
| [prayy  ATN](/player/51676/prayy) | (+1) | 218 | 0.91 | 206.6 | 0.94 | 69% | 140.8 | 0.73 | 0.16 | 0.13 | 0.11 | 24% | 17% | 4/23 | [30](/509985/eintracht-frankfurt-vs-alternate-attax-challengers-2025-dach-evolution-split-3-group-stage-r1) | 160 | 170 | 35 | 28 | 23 |
| [Strame  CDMD](/player/34257/strame) | (+1) | 304 | 0.91 | 179.0 | 0.94 | 67% | 122.1 | 0.67 | 0.14 | 0.11 | 0.09 | 37% | 14% | 5/36 | [25](/516768/bobo-vs-care-mid-challengers-2025-oceania-split-2-r1) | 203 | 216 | 43 | 34 | 26 |
| [dodonut  SRG](/player/9185/dodonut) | (+6) | 562 | 0.91 | 182.5 | 0.88 | 69% | 120.2 | 0.64 | 0.29 | 0.10 | 0.13 | 27% | 20% | 7/35 | [22](/521366/tuffgg-vs-overtake-funhavergg-plain-jane-4-playoffs-ro16) | 359 | 406 | 163 | 55 | 72 |
| [sherb  Astr](/player/21903/sherb) | (+5) | 620 | 0.91 | 180.5 | 0.88 | 65% | 120.3 | 0.64 | 0.24 | 0.05 | 0.07 | 29% | 12% | 12/99 | [24](/532305/dinglerz-vs-deep-fried-funhavergg-back-to-basics-1-ro16) | 397 | 453 | 146 | 32 | 41 |
| [Kushy  RRQ](/player/4866/kushy) | (+2) | 596 | 0.91 | 172.5 | 0.89 | 71% | 113.3 | 0.59 | 0.26 | 0.05 | 0.08 | 29% | 21% | 14/66 | [29](/510142/rex-regum-qeon-vs-team-heretics-esports-world-cup-2025-decider-c) | 349 | 394 | 152 | 31 | 50 |
| [suther  9ZG](/player/2464/suther) | (+2) | 311 | 0.91 | 161.4 | 0.82 | 73% | 106.2 | 0.56 | 0.47 | 0.05 | 0.07 | 25% | 10% | 4/40 | [18](/505170/shinden-vs-9z-team-challengers-2025-latam-south-ace-stage-2-w4) | 175 | 214 | 147 | 14 | 23 |
| [Blossi  ATNR](/player/17318/blossi) |  | 768 | 0.91 | 171.8 | 0.84 | 73% | 109.2 | 0.59 | 0.41 | 0.06 | 0.09 | 29% | 19% | 15/81 | [28](/511859/alternate-attax-ruby-vs-neon-blade-equal-esports-queens-2025-contenders-s2-qualifier-ubf) | 455 | 541 | 315 | 45 | 71 |
| [strongtallguy62  EVX](/player/48800/strongtallguy62) |  | 446 | 0.91 | 213.4 | 0.95 | 68% | 139.4 | 0.74 | 0.18 | 0.18 | 0.20 | 21% | 22% | 6/27 | [24](/511440/burger-boyz-vs-team-evictix-red-funhavergg-zero-in-qualifier-7-gs-winners-f) | 331 | 347 | 82 | 80 | 90 |
| [BlackWiz  NFX](/player/7888/blackwiz) | (+3) | 447 | 0.91 | 175.3 | 0.87 | 69% | 114.1 | 0.62 | 0.33 | 0.06 | 0.08 | 25% | 31% | 18/59 | [19](/524999/fennel-vs-noez-foxx-challengers-league-2025-japan-finals-lbf) | 275 | 315 | 147 | 25 | 37 |
| [fvrioza](/player/50205/fvrioza) |  | 223 | 0.91 | 180.7 | 0.87 | 74% | 121.7 | 0.61 | 0.46 | 0.03 | 0.08 | 27% |  | 0/23 | [19](/517002/full-box-200-vs-metizport-challengers-2025-north-east-samsung-odyssey-split-3-r3-2-0) | 135 | 155 | 102 | 7 | 18 |
| [Tokky  PEEK](/player/53132/tokky) | (+2) | 208 | 0.91 | 207.1 | 0.88 | 67% | 137.0 | 0.71 | 0.17 | 0.15 | 0.23 | 28% | 19% | 4/21 | [21](/518740/los-grandes-vs-peek-challengers-2025-brazil-gamers-club-split-2-opening) | 148 | 168 | 35 | 32 | 48 |
| [fukukeN  DLT](/player/33417/fukuken) | (+2) | 323 | 0.91 | 189.1 | 0.88 | 68% | 126.2 | 0.64 | 0.37 | 0.06 | 0.13 | 32% | 18% | 6/34 | [27](/510428/delight-vs-reject-challengers-2025-japan-split-3-w3) | 208 | 236 | 118 | 19 | 42 |
| [keloqz  MDR](/player/3582/keloqz) |  | 319 | 0.91 | 197.9 | 0.96 | 66% | 127.8 | 0.71 | 0.15 | 0.16 | 0.18 | 26% | 9% | 2/23 | [25](/519541/team-valiant-vs-mandatory-challengers-2025-france-revolution-split-3-w3) | 228 | 238 | 49 | 51 | 58 |
| [Surf  TLNA](/player/23062/surf) | (+1) | 211 | 0.91 | 168.8 | 0.89 | 68% | 112.8 | 0.64 | 0.21 | 0.07 | 0.09 | 38% | 10% | 3/31 | [21](/521238/oasis-gaming-vs-talon-academy-challengers-2025-southeast-asia-split-3-w5) | 134 | 150 | 44 | 15 | 20 |
| [HyP  MDR](/player/113/hyp) | (+1) | 319 | 0.91 | 153.3 | 0.85 | 66% | 106.5 | 0.57 | 0.20 | 0.07 | 0.08 | 24% | 9% | 3/33 | [26](/524284/team-valiant-vs-mandatory-challengers-2025-france-revolution-split-3-lbf) | 181 | 214 | 64 | 23 | 26 |
| [Javelin  BOA](/player/29559/javelin) | (+3) | 542 | 0.91 | 165.5 | 0.85 | 76% | 107.3 | 0.57 | 0.48 | 0.07 | 0.05 | 27% | 15% | 6/39 | [24](/536051/boars-vs-mania-evc-the-surge-5-ro32) | 310 | 366 | 259 | 40 | 29 |
| [yuran  QTD](/player/29840/yuran) |  | 271 | 0.91 | 188.8 | 0.88 | 68% | 125.7 | 0.68 | 0.23 | 0.08 | 0.14 | 28% | 16% | 7/45 | [23](/510433/delight-vs-qt-dig-challengers-2025-japan-split-3-w3) | 183 | 208 | 63 | 21 | 37 |
| [allie  2G.GC](/player/35018/allie) |  | 238 | 0.91 | 179.8 | 0.91 | 68% | 118.6 | 0.66 | 0.29 | 0.05 | 0.08 | 33% | 16% | 6/37 | [17](/514828/2game-esports-gc-vs-mibr-gc-game-changers-2025-brazil-stage-2-lbf) | 156 | 172 | 70 | 11 | 18 |
| [micaela  KRÜ.B](/player/21558/micaela) | (+1) | 241 | 0.91 | 163.3 | 0.84 | 71% | 105.9 | 0.56 | 0.39 | 0.06 | 0.07 | 41% | 9% | 2/23 | [19](/504893/university-war-gc-vs-kr-blaze-game-changers-2025-latam-south-stage-2-lr1) | 136 | 162 | 94 | 15 | 17 |
| [mariella](/player/50853/mariella) | (+1) | 297 | 0.91 | 181.3 | 0.91 | 63% | 122.6 | 0.68 | 0.15 | 0.08 | 0.08 | 28% | 9% | 5/55 | [22](/508991/small-crew-vs-fokus-sakura-equal-esports-queens-2025-split-3-d3) | 201 | 221 | 44 | 23 | 24 |
| [SendyClaire  Meli](/player/24098/sendyclaire) |  | 221 | 0.91 | 168.9 | 0.84 | 72% | 117.3 | 0.61 | 0.27 | 0.07 | 0.05 | 22% | 18% | 7/40 | [24](/524806/boostgate-esports-vs-team-galaga-kitsune-game-changers-2025-emea-contenders-series-2-open-qualif) | 134 | 160 | 60 | 16 | 11 |
| [Zanks  Ace](/player/49857/zanks) | (+3) | 516 | 0.91 | 207.0 | 0.93 | 70% | 133.8 | 0.74 | 0.25 | 0.09 | 0.13 | 37% | 20% | 10/49 | [30](/532211/rose-vs-pug-squad-funhavergg-back-to-basics-1-group-stage-winners-b) | 382 | 411 | 127 | 45 | 69 |
| [Enki  Lost](/player/46628/enki) |  | 365 | 0.90 | 192.9 | 0.93 | 64% | 127.2 | 0.69 | 0.16 | 0.11 | 0.15 | 30% | 13% | 4/31 | [21](/525532/la-mala-vs-lost-puppies-x-leo-game-changers-2025-emea-contenders-series-2-lbf-a) | 252 | 271 | 59 | 39 | 53 |
| [reddi](/player/46370/reddi) | (+4) | 258 | 0.90 | 175.2 | 0.86 | 68% | 118.1 | 0.61 | 0.26 | 0.06 | 0.10 | 31% | 9% | 3/32 | [19](/529543/retired-at-20-vs-tenax-funhavergg-mad-science-draft-4-ro32) | 157 | 183 | 68 | 16 | 27 |
| [Ramgi  GGA](/player/50826/ramgi) |  | 270 | 0.90 | 204.5 | 0.90 | 68% | 128.2 | 0.73 | 0.17 | 0.20 | 0.18 | 31% | 7% | 1/14 | [24](/511288/slt-seongnam-vs-gen-g-global-academy-challengers-2025-korea-wdg-stage-3-w3) | 196 | 218 | 46 | 55 | 49 |
| [vina  JFT](/player/33714/vina) | (+3) | 470 | 0.90 | 172.4 | 0.89 | 67% | 117.7 | 0.62 | 0.25 | 0.06 | 0.08 | 38% | 9% | 5/54 | [24](/527770/bobo-vs-vina-side-hustle-challengers-2025-oceania-split-2-ubqf) | 293 | 331 | 118 | 30 | 37 |
| [Big Tonka T  EVX](/player/35447/big-tonka-t) | (+2) | 553 | 0.90 | 180.3 | 0.85 | 67% | 122.8 | 0.60 | 0.24 | 0.06 | 0.10 | 25% | 7% | 5/69 | [20](/510039/tenax-vs-invictus-esports-funhavergg-zero-in-qualifier-6-ro32) | 332 | 389 | 133 | 34 | 54 |
| [Clewy  PHX](/player/27879/clewy) | (+2) | 409 | 0.90 | 179.7 | 0.89 | 64% | 120.3 | 0.64 | 0.20 | 0.08 | 0.07 | 30% | 10% | 6/61 | [22](/515727/oni-occult-vs-jack-the-snake-funhavergg-zero-in-final-qualifier-groups-winners-l) | 260 | 292 | 80 | 32 | 28 |
| [lenne  Z11](/player/8137/lenne) |  | 244 | 0.90 | 182.5 | 0.81 | 70% | 124.4 | 0.59 | 0.35 | 0.07 | 0.09 | 21% | 16% | 5/31 | [21](/520582/z11-vs-full-sense-challengers-2025-southeast-asia-split-3-w1) | 145 | 179 | 85 | 18 | 21 |
| [LIAN  LUX](/player/53353/lian) | (+3) | 207 | 0.90 | 202.0 | 0.84 | 65% | 130.4 | 0.69 | 0.27 | 0.12 | 0.13 | 34% | 11% | 2/18 | [18](/536964/lebron-booey-james-vs-team-evictix-red-shark-attack-1-ro16) | 143 | 170 | 56 | 24 | 27 |
| [kellyS  TS](/player/7437/kellys) | (+4) | 256 | 0.90 | 187.2 | 0.83 | 68% | 125.6 | 0.64 | 0.22 | 0.08 | 0.13 | 19% | 4% | 1/28 | [25](/508844/rex-regum-qeon-vs-team-secret-vct-2025-pacific-stage-2-w4) | 163 | 197 | 56 | 21 | 33 |
| [SID  BFX](/player/25048/sid) | (+2) | 223 | 0.90 | 201.6 | 0.94 | 68% | 130.0 | 0.68 | 0.22 | 0.15 | 0.16 | 26% | 31% | 4/13 | [22](/528183/slt-seongnam-vs-fearx-challengers-2025-korea-wdg-stage-3-lbf) | 152 | 162 | 48 | 34 | 35 |
| [echo  ULF](/player/49346/echo) | (+1) | 338 | 0.90 | 193.1 | 0.94 | 68% | 130.2 | 0.70 | 0.20 | 0.12 | 0.09 | 37% | 14% | 6/42 | [25](/511231/ulf-esports-vs-eternal-fire-challengers-2025-t-rkiye-birlik-split-3-lbf) | 235 | 250 | 68 | 39 | 32 |
| [Luna1  YDZ.GC](/player/43238/luna1) | (+3) | 335 | 0.90 | 211.6 | 0.89 | 67% | 124.4 | 0.69 | 0.32 | 0.19 | 0.14 | 13% | 21% | 7/34 | [24](/511015/tenax-gc-vs-ydz-black-game-changers-2025-north-america-stage-2-ubqf) | 232 | 261 | 107 | 65 | 48 |
| [Rosé  BCF](/player/5565/ros) |  | 241 | 0.90 | 177.2 | 0.85 | 72% | 115.0 | 0.59 | 0.31 | 0.06 | 0.09 | 23% | 24% | 6/25 | [19](/511226/bbl-pcific-vs-ulf-esports-challengers-2025-t-rkiye-birlik-split-3-ubf) | 142 | 168 | 74 | 14 | 21 |
| [SRZ  AKA](/player/42635/srz) | (+3) | 449 | 0.90 | 189.7 | 0.89 | 66% | 126.2 | 0.67 | 0.27 | 0.08 | 0.11 | 26% | 10% | 4/42 | [25](/525531/lost-puppies-x-leo-vs-boostgate-esports-game-changers-2025-emea-contenders-series-2-lr3-a) | 299 | 337 | 121 | 37 | 48 |
| [azul  ZEN.GC](/player/21091/azul) | (+2) | 268 | 0.90 | 166.3 | 0.84 | 70% | 114.6 | 0.59 | 0.31 | 0.04 | 0.04 | 37% | 13% | 4/31 | [25](/504889/university-war-gc-vs-zen-esports-gc-game-changers-2025-latam-south-stage-2-ubsf) | 158 | 188 | 82 | 12 | 10 |
| [alexis  SRG](/player/3079/alexis) | (+2) | 470 | 0.90 | 184.5 | 0.89 | 68% | 126.2 | 0.64 | 0.19 | 0.08 | 0.07 | 34% | 6% | 4/69 | [19](/523251/shopify-rebellion-gold-vs-mak-n-cheese-game-changers-2025-north-america-stage-2-r2-1-0) | 303 | 342 | 88 | 39 | 32 |
| [bless  Over](/player/28402/bless) | (+4) | 810 | 0.90 | 184.6 | 0.85 | 67% | 122.0 | 0.64 | 0.28 | 0.08 | 0.11 | 29% | 13% | 10/75 | [25](/532216/yfp-pigeons-vs-overtake-funhavergg-back-to-basics-1-group-stage-winners-c) | 517 | 611 | 229 | 61 | 86 |
| [murizzz  SHI](/player/783/murizzz) | (+2) | 381 | 0.90 | 183.4 | 0.89 | 67% | 120.6 | 0.63 | 0.25 | 0.06 | 0.09 | 26% | 17% | 9/54 | [20](/525812/oxen-vs-shinden-challengers-2025-latam-south-ace-stage-2-playoffs-lr1) | 241 | 270 | 96 | 22 | 34 |
| [kryo  PRZ](/player/5810/kryo) | (+2) | 223 | 0.90 | 192.7 | 0.93 | 71% | 131.0 | 0.67 | 0.19 | 0.12 | 0.11 | 22% | 9% | 3/33 | [23](/517002/full-box-200-vs-metizport-challengers-2025-north-east-samsung-odyssey-split-3-r3-2-0) | 150 | 161 | 43 | 27 | 24 |
| [baha  SUP](/player/10114/baha) |  | 295 | 0.90 | 182.4 | 0.89 | 73% | 115.9 | 0.65 | 0.33 | 0.11 | 0.13 | 32% | 31% | 5/16 | [19](/511192/bbl-pcific-vs-papara-supermassive-challengers-2025-t-rkiye-birlik-split-3-w1) | 193 | 218 | 98 | 33 | 38 |
| [coconut  XLG](/player/12365/coconut) |  | 278 | 0.90 | 161.8 | 0.84 | 72% | 107.2 | 0.56 | 0.42 | 0.06 | 0.09 | 26% |  | 0/6 | [20](/527587/edward-gaming-vs-xi-lai-gaming-vct-2025-china-stage-2-lr3) | 155 | 185 | 117 | 14 | 20 |
| [Polvi  FMG](/player/1839/polvi) | (+1) | 204 | 0.90 | 209.3 | 0.89 | 70% | 137.8 | 0.71 | 0.33 | 0.18 | 0.17 | 22% |  | 0/16 | [22](/511623/mandatory-vs-animals-challengers-2025-france-revolution-split-3-w1) | 144 | 161 | 68 | 36 | 34 |
| [enderz  GIF](/player/28215/enderz) | (+2) | 241 | 0.90 | 213.2 | 0.87 | 67% | 115.7 | 0.73 | 0.22 | 0.17 | 0.23 | 23% | 12% | 2/17 | [31](/511014/alliance-angels-vs-hakikimori-gc-game-changers-2025-north-america-stage-2-ubqf) | 177 | 203 | 54 | 42 | 56 |
| [Loco  BAAM](/player/42282/loco) |  | 233 | 0.90 | 174.5 | 0.86 | 67% | 116.2 | 0.62 | 0.33 | 0.03 | 0.08 | 21% | 17% | 5/29 | [21](/488328/baam-esports-vs-3bl-esports-challengers-2025-mena-resilience-north-africa-and-levant-split-2-w6) | 144 | 167 | 77 | 8 | 18 |
| [pohler  Eter](/player/40856/pohler) |  | 242 | 0.90 | 187.4 | 0.91 | 67% | 122.9 | 0.68 | 0.28 | 0.08 | 0.10 | 26% | 11% | 4/37 | [21](/515711/overtake-vs-eternal-focus-funhavergg-zero-in-final-qualifier-groups-opening-i) | 164 | 181 | 67 | 19 | 24 |
| [Chay  DLT](/player/31845/chay) |  | 323 | 0.90 | 180.0 | 0.84 | 72% | 119.4 | 0.60 | 0.38 | 0.10 | 0.08 | 36% | 10% | 4/41 | [21](/510428/delight-vs-reject-challengers-2025-japan-split-3-w3) | 195 | 233 | 124 | 32 | 27 |
| [batujnax  APK](/player/18615/batujnax) | (+2) | 230 | 0.89 | 181.0 | 0.86 | 71% | 120.2 | 0.64 | 0.24 | 0.09 | 0.11 | 29% |  | 0/18 | [25](/511549/apeks-vs-karmine-corp-vct-2025-emea-stage-2-w2) | 148 | 172 | 56 | 20 | 26 |
| [smiley  NBG](/player/13084/smiley) | (+4) | 987 | 0.89 | 163.0 | 0.85 | 73% | 106.9 | 0.58 | 0.37 | 0.05 | 0.07 | 31% | 9% | 8/89 | [21](/523505/nightblood-gaming-vs-dynamo-funhavergg-plain-jane-5-playoffs-ro16) | 573 | 676 | 367 | 52 | 72 |
| [hyk  IGN](/player/9158/hyk) | (+1) | 244 | 0.89 | 206.2 | 0.98 | 65% | 136.8 | 0.75 | 0.14 | 0.15 | 0.16 | 32% | 12% | 2/17 | [26](/520582/z11-vs-full-sense-challengers-2025-southeast-asia-split-3-w1) | 183 | 187 | 34 | 36 | 39 |
| [qqGOD  FS](/player/14677/qqgod) | (+3) | 247 | 0.89 | 155.3 | 0.83 | 69% | 107.9 | 0.54 | 0.30 | 0.06 | 0.09 | 26% | 13% | 3/24 | [21](/520582/z11-vs-full-sense-challengers-2025-southeast-asia-split-3-w1) | 133 | 160 | 73 | 16 | 22 |
| [Czester  MZP](/player/36748/czester) | (+1) | 373 | 0.89 | 185.0 | 0.86 | 70% | 116.9 | 0.64 | 0.35 | 0.09 | 0.13 | 34% | 13% | 5/40 | [26](/517002/full-box-200-vs-metizport-challengers-2025-north-east-samsung-odyssey-split-3-r3-2-0) | 238 | 278 | 130 | 33 | 47 |
| [deLb  AG](/player/10821/delb) | (+2) | 307 | 0.89 | 179.8 | 0.98 | 74% | 112.3 | 0.67 | 0.27 | 0.08 | 0.07 | 38% |  |  | [21](/506955/all-gamers-vs-funplus-phoenix-vct-2025-china-stage-2-w4) | 205 | 209 | 82 | 21 | 19 |
| [pANcada  LOUD](/player/683/pancada) |  | 276 | 0.89 | 164.1 | 0.81 | 66% | 111.9 | 0.56 | 0.34 | 0.04 | 0.05 | 38% | 13% | 6/48 | [28](/509802/leviat-n-vs-loud-vct-2025-americas-stage-2-w1) | 155 | 192 | 95 | 12 | 14 |
| [capriciouS  XIP.GC](/player/18062/capricious) |  | 307 | 0.89 | 175.2 | 0.88 | 73% | 117.1 | 0.61 | 0.27 | 0.04 | 0.11 | 44% | 21% | 8/38 | [19](/490748/xipto-esports-gc-vs-precision-power-quickness-game-changers-2025-southeast-asia-split-2-ubqf) | 187 | 212 | 83 | 13 | 33 |
| [Xuan](/player/55525/xuan) | (+1) | 314 | 0.89 | 218.2 | 0.91 | 64% | 142.0 | 0.72 | 0.26 | 0.15 | 0.16 | 24% | 8% | 2/26 | [27](/516789/nx-vs-littlecatboys-challengers-2025-oceania-split-2-r2) | 227 | 250 | 81 | 47 | 51 |
| [xeus  EF](/player/12793/xeus) |  | 247 | 0.89 | 210.3 | 0.91 | 68% | 132.0 | 0.73 | 0.21 | 0.14 | 0.18 | 29% |  | 0/11 | [24](/511568/fut-esports-vs-team-heretics-vct-2025-emea-stage-2-w4) | 180 | 197 | 53 | 35 | 44 |
| [Tenshi  IGW](/player/26809/tenshi) | (+3) | 302 | 0.89 | 164.1 | 0.85 | 69% | 110.2 | 0.60 | 0.29 | 0.05 | 0.06 | 33% | 12% | 5/41 | [21](/519540/blx-corp-vs-hide-on-bush-challengers-2025-france-revolution-split-3-w3) | 182 | 213 | 87 | 15 | 19 |
| [Weegle  EVX](/player/54082/weegle) | (+1) | 398 | 0.89 | 178.1 | 0.86 | 67% | 118.2 | 0.62 | 0.29 | 0.05 | 0.07 | 33% | 14% | 6/44 | [20](/510036/5-big-booms-vs-team-evictix-red-funhavergg-zero-in-qualifier-6-ro32) | 248 | 288 | 114 | 19 | 29 |
| [Coco  TEC](/player/47629/coco) | (+1) | 213 | 0.89 | 180.9 | 0.75 | 68% | 111.2 | 0.58 | 0.37 | 0.07 | 0.04 | 32% | 12% | 2/17 | [20](/506956/trace-esports-vs-titan-esports-club-vct-2025-china-stage-2-w4) | 123 | 164 | 78 | 15 | 8 |
| [Crws  TLN](/player/3977/crws) | (+1) | 393 | 0.89 | 163.6 | 0.87 | 74% | 109.2 | 0.56 | 0.31 | 0.09 | 0.08 | 25% | 20% | 9/46 | [28](/508841/talon-vs-paper-rex-vct-2025-pacific-stage-2-w4) | 220 | 254 | 122 | 34 | 33 |
| [Jeje  Skyl](/player/31173/jeje) | (+3) | 330 | 0.89 | 164.3 | 0.82 | 67% | 107.1 | 0.58 | 0.39 | 0.06 | 0.08 | 37% | 12% | 6/50 | [20](/531576/artificial-intelligence-vs-tenax-gc-game-changers-2025-north-america-stage-2-r4-1-2) | 192 | 235 | 129 | 19 | 26 |
| [deNaro  2G.AC](/player/1684/denaro) | (+1) | 262 | 0.89 | 179.2 | 0.89 | 71% | 116.6 | 0.62 | 0.28 | 0.05 | 0.07 | 28% | 16% | 6/38 | [18](/493342/red-canids-vs-2game-academy-challengers-2025-brazil-gamers-club-split-2-r5) | 163 | 184 | 74 | 12 | 19 |
| [yay  EG](/player/881/yay) | (+1) | 248 | 0.89 | 204.3 | 0.91 | 64% | 134.2 | 0.73 | 0.19 | 0.15 | 0.21 | 30% | 9% | 2/22 | [29](/509817/g2-esports-vs-evil-geniuses-vct-2025-americas-stage-2-w3) | 182 | 199 | 46 | 38 | 52 |
| [Sorrow  Didd](/player/33718/sorrow) | (+1) | 241 | 0.89 | 182.8 | 0.83 | 65% | 123.4 | 0.66 | 0.20 | 0.07 | 0.09 | 37% | 11% | 5/45 | [20](/516783/bobo-vs-xiao-bao-challengers-2025-oceania-split-2-r2) | 160 | 192 | 48 | 18 | 22 |
| [tinchoff  ZEN](/player/2585/tinchoff) |  | 223 | 0.89 | 180.3 | 0.86 | 61% | 123.2 | 0.64 | 0.17 | 0.06 | 0.07 | 33% | 17% | 6/36 | [23](/505164/zen-esports-vs-shinden-challengers-2025-latam-south-ace-stage-2-w3) | 143 | 167 | 37 | 14 | 16 |
| [mizzy  DREA](/player/29823/mizzy) |  | 295 | 0.89 | 168.6 | 0.83 | 70% | 109.5 | 0.58 | 0.36 | 0.06 | 0.10 | 37% | 16% | 6/37 | [25](/510441/mibr-gc-vs-tbs-gc-game-changers-2025-brazil-stage-2-r4) | 170 | 205 | 105 | 19 | 30 |
| [Shazeon  ATN](/player/4969/shazeon) | (+2) | 218 | 0.89 | 191.0 | 0.90 | 66% | 122.3 | 0.67 | 0.22 | 0.08 | 0.09 | 32% | 16% | 4/25 | [23](/522077/fokus-vs-alternate-attax-challengers-2025-dach-evolution-split-3-ubqf) | 145 | 162 | 48 | 17 | 19 |
| [monSi  SRB](/player/4385/monsi) | (+2) | 413 | 0.89 | 168.8 | 0.87 | 68% | 108.7 | 0.61 | 0.23 | 0.06 | 0.07 | 30% | 12% | 7/59 | [22](/537234/sad-esports-vs-shopify-rebellion-black-bell-esports-challenge-2025-closed-qualifier-sf) | 251 | 289 | 97 | 25 | 27 |
| [popoman4Q  TUMT](/player/2371/popoman4q) | (+1) | 225 | 0.89 | 137.8 | 0.77 | 72% | 92.0 | 0.51 | 0.42 | 0.02 | 0.03 | 21% | 9% | 3/35 | [24](/521424/tumt-shark-vs-university-esports-championship-2025-sf) | 114 | 148 | 95 | 5 | 7 |
| [Corsa  FMG](/player/45836/corsa) |  | 313 | 0.89 | 169.4 | 0.89 | 63% | 119.7 | 0.61 | 0.19 | 0.06 | 0.10 | 34% | 18% | 7/39 | [21](/517001/formulation-gaming-vs-twisted-saints-esports-challengers-2025-north-east-samsung-odyssey-split) | 192 | 216 | 60 | 19 | 30 |
| [OLIZERA  APK](/player/8502/olizera) | (+1) | 230 | 0.88 | 190.0 | 0.88 | 70% | 124.1 | 0.67 | 0.23 | 0.10 | 0.08 | 29% | 13% | 5/38 | [23](/511549/apeks-vs-karmine-corp-vct-2025-emea-stage-2-w2) | 153 | 173 | 52 | 24 | 19 |
| [biazik  KRÜ.B](/player/11235/biazik) | (+2) | 283 | 0.88 | 175.2 | 0.86 | 70% | 118.0 | 0.59 | 0.21 | 0.07 | 0.10 | 23% | 5% | 2/39 | [22](/518420/kr-blaze-vs-tbs-gc-ta-a-das-minas-15-gf) | 168 | 196 | 59 | 20 | 27 |
| [lidyuh  100T](/player/17977/lidyuh) |  | 258 | 0.88 | 171.7 | 0.84 | 72% | 118.2 | 0.59 | 0.42 | 0.07 | 0.07 | 27% | 14% | 3/22 | [24](/527981/100-thieves-gc-vs-ghost-gaming-game-changers-2025-north-america-stage-2-r3-2-0) | 153 | 182 | 108 | 17 | 17 |
| [Minty  RID](/player/5476/minty) |  | 346 | 0.88 | 164.2 | 0.82 | 73% | 109.7 | 0.56 | 0.36 | 0.05 | 0.09 | 30% | 16% | 6/38 | [21](/510424/delight-vs-riddle-order-challengers-2025-japan-split-3-w2) | 195 | 237 | 126 | 19 | 31 |
| [FLORAMVS  TDB](/player/41198/floramvs) |  | 430 | 0.88 | 188.1 | 0.90 | 71% | 123.4 | 0.64 | 0.27 | 0.15 | 0.17 | 25% | 15% | 4/26 | [23](/525545/million-flowerz-gc-vs-todobew-gc-game-changers-2025-emea-contenders-series-2-lbf-b) | 277 | 308 | 114 | 63 | 74 |
